"participant_id","noun_condition","voice","ir_cr","wr_acc_score","ir_rt","wr_rt"
290,"HH","Passive",0.90625,1,1746,3134.66666666667
290,"HL","Active",0.90625,0.833333333333333,1360.16666666667,2103.66666666667
290,"HL","Passive",0.739583333333333,0.6,1374,919.5
290,"LH","Active",0.572916666666667,0.75,1463,2822.5
290,"LH","Passive",0.90625,0.666666666666667,2340,1863.66666666667
290,"LL","Active",0.90625,0.666666666666667,2291.16666666667,3920.5
290,"LL","Passive",0.90625,1,1667.83333333333,2476
292,"HH","Active",0.4375,1,1266,696.2
292,"HH","Passive",0.604166666666667,0.333333333333333,1223.83333333333,703.833333333333
292,"HL","Active",0.604166666666667,0.5,1024.33333333333,878.5
292,"HL","Passive",0.4375,0.8,1221.2,868.4
292,"LH","Active",0.604166666666667,0.5,958.833333333333,941
292,"LH","Passive",0.604166666666667,0.833333333333333,1163.83333333333,753.833333333333
292,"LL","Active",0.270833333333333,0.75,1457.75,833
292,"LL","Passive",0.604166666666667,0.833333333333333,1105.66666666667,757
293,"HH","Active",0.739583333333333,1,1733.6,1239.2
293,"HH","Passive",0.90625,0.833333333333333,1876.66666666667,1048.33333333333
293,"HL","Active",0.739583333333333,0.8,2031,868.4
293,"HL","Passive",0.90625,0.833333333333333,2096.66666666667,1031
293,"LH","Active",0.739583333333333,0.8,1742.4,1383
293,"LH","Passive",0.739583333333333,0.8,1639.8,802
293,"LL","Active",0.90625,0.5,1493,969.833333333333
293,"LL","Passive",0.572916666666667,0.75,1925.5,1444.5
294,"HH","Active",0.75,1,1518.75,569.75
294,"HH","Passive",0.75,0.25,1597.5,589
294,"HL","Active",0.75,0.5,942.5,404.5
294,"HL","Passive",0.75,0.75,2075.25,1066
294,"LH","Active",0.75,0.5,2221.25,800.5
294,"LH","Passive",0.5,0.333333333333333,1323.66666666667,413.666666666667
294,"LL","Active",0.5,0.666666666666667,1216.33333333333,532.666666666667
294,"LL","Passive",0.75,0.5,1352,377.25
295,"HH","Active",0.78125,1,1827.8,918
295,"HH","Passive",0.947916666666667,0.833333333333333,1445.8,687.4
295,"HL","Active",0.947916666666667,0.833333333333333,1633,884.666666666667
295,"HL","Passive",0.947916666666667,0.666666666666667,1722.33333333333,1151.83333333333
295,"LH","Active",0.78125,1,1284.6,870
295,"LH","Passive",0.947916666666667,0.5,1686.83333333333,925.666666666667
295,"LL","Active",0.78125,1,1344,713.4
295,"LL","Passive",0.78125,0.8,1695,884.8
296,"HH","Active",0.708333333333333,0.8,1523.2,1522.8
296,"HH","Passive",0.708333333333333,0.8,1743.2,1439.6
296,"HL","Active",0.875,0.833333333333333,1710.2,1461
296,"HL","Passive",0.875,0.833333333333333,1744.16666666667,1874.16666666667
296,"LH","Active",0.708333333333333,0.8,1385,1655.6
296,"LH","Passive",0.875,0.5,1249.5,1206
296,"LL","Active",0.541666666666667,0.75,1283,2039.25
296,"LL","Passive",0.875,1,1667.83333333333,2680.8
297,"HH","Active",0.4375,0.333333333333333,1426.66666666667,924
297,"HH","Passive",0.6875,0.5,1598,1197
297,"HL","Active",0.6875,0.75,1391,1048.25
297,"HL","Passive",0.6875,0.25,1526,1144.66666666667
297,"LH","Active",0.4375,0.666666666666667,1401.66666666667,550
297,"LH","Passive",0.6875,0.75,1432,539.5
297,"LL","Active",0.6875,0.75,1812,943
297,"LL","Passive",0.4375,1,1465.66666666667,417.5
298,"HH","Active",0.739583333333333,0.8,1453.2,897.8
298,"HH","Passive",0.572916666666667,0.75,1610,578
298,"HL","Active",0.572916666666667,0.75,1572,492.25
298,"HL","Passive",0.572916666666667,0.75,1478.75,648.25
298,"LH","Active",0.40625,0.666666666666667,2001.33333333333,361
298,"LH","Passive",0.739583333333333,0.6,1409.8,424
298,"LL","Active",0.40625,1,1323.33333333333,1392.33333333333
298,"LL","Passive",0.239583333333333,1,2955.5,805
302,"HH","Active",0.8125,0.666666666666667,1341.16666666667,601.166666666667
302,"HH","Passive",0.479166666666667,1,1983.75,471.25
302,"HL","Active",0.645833333333333,0.8,1412.2,707
302,"HL","Passive",0.645833333333333,0.4,1738.2,748.75
302,"LH","Active",0.8125,0.833333333333333,1652,652.833333333333
302,"LH","Passive",0.3125,0.333333333333333,1468.66666666667,1004.66666666667
302,"LL","Active",0.3125,0.333333333333333,2092,470
302,"LL","Passive",0.645833333333333,0.8,1570.6,654.75
303,"HH","Active",0.78125,0.6,2204.4,2603
303,"HH","Passive",0.947916666666667,0.666666666666667,2206.33333333333,1011.5
303,"HL","Active",0.947916666666667,1,2276.83333333333,2033.33333333333
303,"HL","Passive",0.78125,1,2153,1336.6
303,"LH","Active",0.947916666666667,1,2438.33333333333,1990
303,"LH","Passive",0.614583333333333,0.5,2211,1962.5
303,"LL","Active",0.614583333333333,0.25,2453.5,1744.33333333333
303,"LL","Passive",0.947916666666667,0.833333333333333,2014.5,1132.83333333333
304,"HH","Active",0.645833333333333,1,2250.8,733.8
304,"HH","Passive",0.3125,1,1897.66666666667,324
304,"HL","Active",0.479166666666667,0.75,2040.5,2090.25
304,"HL","Passive",0.479166666666667,0.75,1850.75,867.75
304,"LH","Active",0.8125,0.833333333333333,2157.83333333333,725.4
304,"LH","Passive",0.8125,1,1937.83333333333,1097.66666666667
304,"LL","Active",0.479166666666667,1,1542.75,856.75
304,"LL","Passive",0.3125,1,1648.33333333333,1339.33333333333
305,"HH","Active",0.854166666666667,1,1409.83333333333,527.666666666667
305,"HH","Passive",0.854166666666667,0.833333333333333,1912.5,672.666666666667
305,"HL","Active",0.854166666666667,1,1479,334.166666666667
305,"HL","Passive",0.854166666666667,1,1948.33333333333,846.5
305,"LH","Active",0.854166666666667,1,1401.66666666667,554.2
305,"LH","Passive",0.854166666666667,0.833333333333333,1218.16666666667,275.2
305,"LL","Active",0.854166666666667,0.833333333333333,1953.66666666667,624
305,"LL","Passive",0.854166666666667,1,2091.66666666667,770.666666666667
307,"HH","Active",0.822916666666667,1,1038.83333333333,1741.2
307,"HH","Passive",0.822916666666667,1,1052,1174.33333333333
307,"HL","Active",0.822916666666667,0.833333333333333,869.166666666667,2231
307,"HL","Passive",0.822916666666667,0.833333333333333,916.833333333333,1861.33333333333
307,"LH","Active",0.822916666666667,0.833333333333333,874.166666666667,1223.16666666667
307,"LH","Passive",0.822916666666667,0.666666666666667,911.333333333333,1463.66666666667
307,"LL","Active",0.822916666666667,0.833333333333333,827.333333333333,1519.83333333333
307,"LL","Passive",0.822916666666667,0.666666666666667,962.666666666667,1429
308,"HH","Active",0.520833333333333,0.6,1859.2,1610.6
308,"HH","Passive",0.520833333333333,0.4,1992.4,1958.2
